않는다.,3
적발을,3
최초로...,6
"2021.08.30.,""'최대어'",3
엇갈렸다.,6
맞은,63
열린 NC와의,3
불펜진을,3
"되자""""라는",3
도핑...,9
거둔',3
"2021.08.23.,""KIA,",9
"2021.08.20.,""콧수염",3
"경쟁"",카펜터와",3
고민,6
치른다.,57
평균자책점(ERA)은,3
"삼성팬',2021",3
꼬인다면,3
/2021.08.29,222
흔들리고,6
"득점…kt,",3
박정수는,3
성적,27
정규리그가,9
"2021.08.28.,TV로",3
노렸지만,3
8위를...,3
/2021.08.25,51
"교체돼'"",19일",3
방향성,6
이의리(19),3
"'요키시,",3
8번타자,6
/2021.08.21,129
담장에,18
켈리-수아레즈,3
"드..."",""‘문김대전’",6
"2021.08.07.,""[MD포토]",3
잡았다놓치는,3
"0....""",6
"""""동해바다""""…日여름",3
"[★고척]"",""홍원기",6
선발투수로...,3
섞은,3
동률…두산,3
"한국야구위원회...""",3
시즌,8706
호소하는,3
현장]멈추지,3
2군으로,30
"됐다"",""NC",6
일본프로야구,6
빼놓지,3
요키시가,30
"미소'"",한화",3
"2021.08.27.,""'타구에",3
"DH…""""그",3
땅볼타구를,27
팽팽하던,6
타선폭발&,3
선언됐음에도,3
첫선을,3
등판했다.,3
놓치지,9
"에이스,",18
"양석환'"",15일",3
말소·이현승,3
결백주장,3
"지켜라'"",26일",3
저지하며,21
홈경기에서,90
4연승,27
巨人,3
보탰다.,3
물갈이에,9
선발승…5이닝,6
"2021.08.18.,이틀",3
1게임,6
랜더스전부터,6
‘빗방울,3
"2021.08.18.,무혐의로",3
9K,18
에이스'라,3
200번재...,6
"2021.08.14.,두산",3
9G,3
내야땅볼때,66
포수,129
"'집중',19일",3
2패,9
나와,42
"김태군,",3
"배치[잠실현..."",두산",6
"2루타!,""2021",6
200홈런을,12
시작된,6
11실점,3
"2021.08.19.,""[사진]김태형",3
"2021.08.31.,""""""이번",3
"실패"",한화",6
"웃는다"",""""""수비를",3
"허경민.""",3
취한,15
시작될,3
노린다.,12
"2021.08.15.,""[사진]변상권,'2타점",3
거액을,3
