잠실구장에서도,4
않는다.,4
"2021.09.25.,""[프로야구",12
'병살타,12
"앞두고,",8
"2021.09.29.,통산",16
"두산…""""좋은",8
"실책'"",28일",4
투구…11일,4
요원으로,4
"2021.09.30.,""김태형",4
"2021.09.29.,“자부심도",4
김동혁의,8
후보→후반기,4
얕보면..',4
흔들리고,4
경헌호,4
손에,4
"많이""""",4
성적,68
유력…외국인,4
노렸지만,8
134타점의,4
'안풀리네',4
"2021.09.19.,""[사진]양석환,'믿을",4
플레이트,4
김동혁이,32
"2021.09.12.,LG",4
들었다.,8
8번타자,12
"2021.09.23.,""""""일관성&신뢰할",4
"'승리하자',두산",4
80억,4
만들기~'[엑's,4
미안했다”,4
"외야플라이'"",19일",4
"이어가자'[포토],""23일",8
가운데...,4
'-2승'…2위,4
'승리가,4
감사,8
2021.09.30.,216
"2021.09.30""",32
팀간,116
토스하며,4
뒤로,8
"추격을...""",4
"결승타"",3연승을",4
"받으며'[포토],""29일",4
싶어,4
황의조,4
"2021.09.15.,""[사진]이영하,'불펜",8
등판했다.,16
놓치지,48
머물렀고,4
14순위로,44
도모,4
합류하면서,4
덜미,8
엑스포츠뉴스는,4
"2021.09.29.,[사진]몸",4
"계약해야겠는데요,",8
펼쳐졌던,8
"열었다....""",4
4연승,48
50승...,12
우위를...,8
"좋죠.""""",4
불자,4
김지수와,4
"2021.09.17.,실책에",4
"박세혁,",12
걱정하지,8
050,4
산뜻한,4
"찾아봐요""""",4
9K,8
"2021.09.28.,""'강진성",4
"[종합]"",프로야구",4
베어스(107경기,8
김동준을...,8
내야땅볼때,112
DNA’,8
포수,400
2014년까지,4
'92일,4
2패,16
코치님께,8
무안타에,12
치른다.,56
"2021.09.18.,""신인왕",4
연습벌레였다.,4
시작된,4
사항은,8
'2위,4
"1,3루에서",10616
본래,4
LG타선을,16
안착해,36
중전안타를,52
노린다.,16
수석·타격코치,4
"2021.09.08.,지금",4
일이다.,8
"기록,",60
쾌투,12
"2021.09.28.,""'9월",4
"2021.09.23.,김태진",4
진짜,16
녹슬지,8
"항의했나,",4
지고,4
"LG는...""",8
KT가,32
합류가,4
"2021.09.15.,김태형",4
"도전"",프로야구",4
어린,16
삼성과,28
순간마다,4
"잊고',2021",4
갑작스럽게,4
"2루타,12일",8
꺾인,16
'사랑스러운,8
"2021.09.23.,한승혁",16
찾아올지,4
쓰러지는,8
'이승진,4
선수들이,492
점프'…최원준,4
위즈전을,4
히어로즈전에,12
불을,8
선수들은,8
"2021.09.26.,박건우",4
선수들을,36
2루,744
각오를,20
"역투"",""프로야구",4
쾅!',10412
"역투',두산",8
"치고있다.""",4
"승리의...""",4
내야땅볼떄,4
"KT선수들,""=",8
"판정승"",""두산",8
"2021.09.22.,[포토]",276
9번타자라니...KIA,4
"100승째',두산",4
16일,404
'잔망루피와,8
'복근라인이,8
과시하며,4
등판한,148
들어서고,12
기념트로피를,4
"2021.09.16.,페르난데스",24
싶은,4
싶을,8
"2021.09.30.,""4연승·2위",4
등판할,4
"감독,""2021",4
좋았던,4
쫓기고,20
'누구,8
등판해,444
대체,12
피칭도,4
결정했다”고,4
"2021.09.26.,""민병헌,",4
처리하고,64
1회초,536
시즌에는,8
"2021.09.29.,[사진]곽빈",4
승부로,4
"2021.09.19.,""[사진]5전",4
어필하자,4
포기하고,8
"2021.09.28.,호잉-유한준",8
섞어,4
가능한,4
상황,580
베어스전와의,4
잘해,4
지명됐다.,24
김강률-허경민,4
"2021.09.26.,""'늦깎이",8
기원,32
마무리...,4
"'안절부절'"",두산",4
LG트윈스,12
"합류…""""10일",4
"2021.09.29.,""[수요연재]",4
터트린후,64
"2021.09.25.,""두산",4
히어로즈와의,124
수업을,8
"2021.09.19.,[사진]빠른",4
뛰며,16
호수비한,4
도루,112
"2021.09.29.,""[사진]선제",4
"2021.09.12.,""'이영하",4
4회까지,8
"109승,",4
'동점은,4
"실패(종합)"",기사내용",4
'최주환의,4
"미란다,",72
 24일,4
"'최주환,",4
사진,4
무관중,16
"‘당했다’"",28일",4
둥판해,8
MVP],4
"125구...""",4
'1회말,8
"2021.09.29.,1루에서",4
차지하며,4
wiz가,24
"프레이..."",""KT",8
"향해'[포토],""24일",4
담장을,12
광주-기아...,4
"왔어요'"",15일",4
"2021.09.29.,""'선발",8
마주치고,4
퇴장도,4
왔어',4
145km를,4
놀란,4
'거부,8
"오른다,두산",4
2명이,8
"주권·김재윤,",4
중위권에서,4
일했다.,4
끊은,12
끝내기,12
위즈파크에서,12
선발등판이,8
정은원,36
"감독,",112
"2021.09.29.,""[포토]허경민,기선제압",4
"눈빛'[포토],""22일",4
"생각해봐"""""",""""""뭘",4
2021.9....,48
"2021.09.16.,""절대",4
‘꿀맛,4
"정현[포토],""22일",4
'거침없는,4
사라졌다,8
지금,28
위즈전에,24
3연전에선,8
깨어나고,4
멍에를,8
"2021.09.28.,우천으로",8
"실패하고...""",8
"6위로'[포토],""17일",4
나올,12
"2021.9.28""",8
선수들에,4
kt위즈를,12
68승,48
승부를,60
"2021.09.14.,""13승",4
“소형준은,4
53패)가,4
크지,8
쇄도,20
4승8패가,4
"선수다.""""",8
망해도,4
14안타를,28
부문에서,4
복귀를,4
제압했다.,16
2.73,4
야구해”...두산,4
"결과는?[포"",""LG",8
홈런이나,4
"베어스와...""",4
포지션을,4
김도경에게,4
추락을,4
'날카로운,20
4연속,4
차곡차곡,12
"2021.09.21.,""[사진]페르난데스-박건우,",4
안재석(75경기,4
불안,4
끊임,4
"2021.09.30.,강승호",4
도리,8
0.393)라는,4
[잠실,10464
"""""김태형",4
느낌”,4
아낌없는,8
베어스전,52
"[MK포토]"",""28일",8
안타와...,16
쐐기,8
"2021.09.17.,""KT",8
활용할,4
마음,24
KBO리그...,8
"보였지만...""",4
"2021.09.30.,""[사진]태그업",4
'겨우,4
앞서가는,4
임혜진이,8
"뿐,",4
중에서,4
김도윤을,4
이글스)에,8
"역투'[포토],""22일",8
"미소[포토]"",""17일",4
'4번,4
술판’,8
"'꾸준함',데스파이네는",4
"도전하겠다..."",ㅣ두산",4
"2021.09.07.,7일",8
kt위즈가,4
홈런이라,4
안타왕,4
5실점하자,8
장호연,4
분위기는,4
"마법’,14일",4
쿠에바스,36
값진,4
레이스에,4
자신과의,4
처절하게,4
'2회까지,8
파죽지세로,4
없을,4
2득점',8
2회,44
‘원,8
"2021.09.23.,김재호",8
들어오고,8
없이,68
복근을,4
"""""다음",8
"""""상대도",4
'2루타로,4
"때,",12
맷,4
1위가,8
곽빈이,280
"진기록들,""기사내용",4
연...,4
홈터치를,8
"안재석[포토],""두산",4
1루주자를,16
"좌우한다,'가을의",8
"버텨줬다""""면서",4
평균자책,4
곽빈의,108
'그의,4
느껴”,4
'가을야구,4
"지명됐다....""",4
'감염병법,4
6피안타,56
"1,400이닝도",4
태그아웃시키고,16
곽빈을,12
곽빈은,44
무엇에,4
"적시타',2021",4
"방패,",4
극찬한,4
"도전'"",18일",4
무겁게,4
"끝냈다…한화,",4
"불며'"",29일",4
"2021.09.26.,“좋은",4
늘어나고,4
"에이스가...""",8
올릴,4
'6이닝,4
정상급,4
"2021.09.30.,항의하는",4
"키움...""",4
"영상],""21일",4
55패가,4
들고,4
4위에서,8
이의리(KIA,4
"[MK현장]"",""12일",4
"2021.09.23.,데뷔전",4
“이제는,8
정지윤,4
